gene id,name,3018_5139jL11HMBYSc6ab35_15_8_rem_of_zooids_StageA1to2,2372_5432b1_zooid_naive_stageAtoB,HISeq-Sample_944axbyd196-10,Hm9axByd196.6_4_219_2,2061_L11HMBY15xSC6ab_24_2_zooids,HISeq-Sample_bot_cDNA_15,2336_5139jL11HMBYSc6ab_15_9_vs_944axBYd196_6_4_101,2619_chimera_5432b_vs_5423b_zooid_StageA2,2626_chimera_5432b_vs_5423b_zooid_StageA2,2627_chimera_5432b_vs_5423b_zooid_StageA2,2662_HM9axBYd196_6_4_202_vs_944axBYd196_6_4_103,2390_chimera_L11HM9abld196_4_15_93_vs_944axbyd196_6_4_zooid_without_test,3562_5606b_vs_L11HMBY15xSC6ab_24_6
g42801.t1,g42801,4,30,0,0,0,0,0,0,0,0,0,0,0
g42802.t1,g42802,16,12,1,16,4,57,11,25,0,4,5,24,20
g42803.t1,g42803,146,54,10,26,2,215,27,84,24,31,27,92,55
g42804.t1,g42804,20,16,0,8,0,12,4,12,2,4,6,17,10
g42805.t1,g42805,4,6,16,11,42,88,12,48,24,62,18,28,26
g42806.t1,FANK1,10,16,7,10,4,44,10,96,8,47,2,14,2
g42807.t1,g42807,11,6,2,9,2,16,5,13,0,2,3,18,8
g42808.t1,g42808,8,8,4,4,10,24,14,26,10,39,4,29,26
g42809.t1,HARBI1,10,0,0,0,0,33,0,0,0,0,4,16,2
g4281.t1,g4281,2,2,0,0,0,2,2,0,0,0,4,2,0
g42810.t1,g42810,2,2,0,14,2,68,0,14,0,0,0,2,0
g42811.t1,HARBI1,0,0,0,0,0,4,0,0,0,0,0,0,0
g42812.t1,ZNF85,20,12,2,6,5,4,10,8,2,2,36,0,18
g42813.t1,Cbs,52,62,23,19,8,85,26,65,12,31,3,31,14
